5;A0A1U9VX91;3.63e-08;100.000;100;Glycerotoxin paralog 1 (Fragment) OS=Glycera tridactyla OX=104710 PE=1 SV=2
7;A0A1U9VX91;1.14e-07;100.000;100;Glycerotoxin paralog 1 (Fragment) OS=Glycera tridactyla OX=104710 PE=1 SV=2
13;A0A1U9VX91;1.72e-07;100.000;100;Glycerotoxin paralog 1 (Fragment) OS=Glycera tridactyla OX=104710 PE=1 SV=2
22;A0A1U9VX91;9.72e-08;100.000;100;Glycerotoxin paralog 1 (Fragment) OS=Glycera tridactyla OX=104710 PE=1 SV=2
23;A0A1U9VX91;4.05e-10;96.154;100;Glycerotoxin paralog 1 (Fragment) OS=Glycera tridactyla OX=104710 PE=1 SV=2
34;A0A144KPJ6;5.14e-06;100.000;100;Nonribosomal peptide synthetase TES OS=Alternaria alternata OX=5599 GN=TES PE=3 SV=1
43;A0A1R3RGK0;1.98e-06;100.000;100;Highly reducing polyketide synthase otaA OS=Aspergillus carbonarius (strain ITEM 5010) OX=602072 GN=otaA PE=1 SV=1
44;A0A1R3RGK0;2.68e-06;100.000;100;Highly reducing polyketide synthase otaA OS=Aspergillus carbonarius (strain ITEM 5010) OX=602072 GN=otaA PE=1 SV=1
49;Q12053;8.59e-06;100.000;100;Norsolorinic acid synthase OS=Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1) OX=1403190 GN=aflC PE=1 SV=1
57;A0A2G5IC96;4.05e-06;100.000;100;Non-reducing polyketide synthase CTB1 OS=Cercospora beticola OX=122368 GN=CTB1 PE=3 SV=1
67;A2R6H1;1.40e-06;100.000;100;Highly reducing polyketide synthase otaA OS=Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513) OX=425011 GN=otaA PE=2 SV=2
70;P98094;3.22e-07;100.000;100;Complement C3 (Fragment) OS=Eptatretus burgeri OX=7764 GN=C3 PE=1 SV=1
73;A0A125SUR3;9.24e-10;100.000;100;Nonribosomal peptide synthetase ACTTS4 OS=Alternaria alternata OX=5599 GN=ACTTS4 PE=3 SV=1
78;Q50LG3;1.18e-08;100.000;100;Highly reducing polyketide synthase AFT9-1 OS=Alternaria alternata OX=5599 GN=AFT9-1 PE=3 SV=1
116;A0A443HK66;6.47e-06;100.000;100;Highly reducing polyketide synthase VdtX OS=Byssochlamys spectabilis OX=264951 GN=VdtX PE=3 SV=1
128;A0A1U9VX91;1.51e-07;95.000;100;Glycerotoxin paralog 1 (Fragment) OS=Glycera tridactyla OX=104710 PE=1 SV=2
142;A0A0D4WTV1;3.88e-11;100.000;100;Dermonecrotic toxin LarSicTox-betaID1 (Fragment) OS=Loxosceles arizonica OX=196454 PE=1 SV=1
